event_id,title,date,start_time,end_time,venue,venue_address,performers,description,url,flyer_url
2335265,"Nonstop: Binh, cotton, S4M23, Shaun J. Wright, Sound Metaphor DJs, Vlada, Vladimir Ivkovic",2026-02-28T00:00:00.000,2026-02-28T22:00:00.000,2026-03-01T22:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","S4M23, Sound Metaphors Djs, cotton, Vlada, Shaun J. Wright, Binh, Vladimir Ivkovic",,https://ra.co/events/2335265,
2335250,Residency Night: livwutang invites Call Super & Mo Yasin,2026-02-27T00:00:00.000,2026-02-27T22:00:00.000,2026-02-28T06:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","livwutang, Call Super, Mo Yasin",,https://ra.co/events/2335250,
2335281,Intro To Ableton Lab: How to Make Your Own Edits and Mashups Pt. 4,2026-02-25T00:00:00.000,2026-02-25T19:00:00.000,2026-02-25T23:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","JP Solis, The New York Record Club for The Advancement of The Arts",,https://ra.co/events/2335281,
2337113,Intro To Ableton Lab: How to Make Your Own Edits and Mashups Pt. 3,2026-02-17T00:00:00.000,2026-02-17T19:00:00.000,2026-02-18T23:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","JP Solis, The New York Record Club for The Advancement of The Arts",,https://ra.co/events/2337113,
2335259,"Nonstop: Aurora Halal, OK Williams, Priori, Prosumer, Sevyn, Shy One, Soul Connection, VARSHA",2026-02-14T00:00:00.000,2026-02-14T22:00:00.000,2026-02-15T22:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","Sevyn, VARSHA, Lovie, Honey Bun, Shy One, Prosumer, OK Williams, Priori, Aurora Halal",,https://ra.co/events/2335259,
2335299,"Soul Connection: Honey Bun, Lovie, Sevyn b2b VARSHA, Shy One",2026-02-14T00:00:00.000,2026-02-14T22:00:00.000,2026-02-15T09:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","Sevyn, VARSHA, Lovie, Honey Bun, Shy One",,https://ra.co/events/2335299,
2335248,dBridge b2b Erika All Night,2026-02-13T00:00:00.000,2026-02-13T22:00:00.000,2026-02-14T06:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","dBridge, Erika",,https://ra.co/events/2335248,
2335276,Intro To Ableton Lab: How to Make Your Own Edits and Mashups Pt. 2,2026-02-11T00:00:00.000,2026-02-11T19:00:00.000,2026-02-11T23:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","JP Solis, The New York Record Club for The Advancement of The Arts",,https://ra.co/events/2335276,
2335246,"Your Love: Alissa Brianna, Lakuti & Tama Sumo, Yvonne Turner",2026-02-07T00:00:00.000,2026-02-07T22:00:00.000,2026-02-08T06:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","Alissa Brianna, Lakuti, Tama Sumo",,https://ra.co/events/2335246,
2335243,"Focus: Afro-House, Afro-Tech, Amapiano, Gqom & 3-Step with Akanbi, Ethan Tomas & Fiyahdred",2026-02-06T00:00:00.000,2026-02-06T22:00:00.000,2026-02-07T06:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","Akanbi, Fiyahdred",,https://ra.co/events/2335243,
2335272,Intro To Ableton Lab: How to Make Your Own Edits and Mashups Pt. 1,2026-02-04T00:00:00.000,2026-02-04T19:00:00.000,2026-02-04T23:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","JP Solis, The New York Record Club for The Advancement of The Arts",,https://ra.co/events/2335272,
2335240,Underground Resistance All Day,2026-02-01T00:00:00.000,2026-02-01T17:00:00.000,2026-02-01T23:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA",Underground Resistance,,https://ra.co/events/2335240,
2318237,Rhadoo All Night,2026-01-31T00:00:00.000,2026-01-31T22:00:00.000,2026-02-01T06:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA",Rhadoo,,https://ra.co/events/2318237,
2318233,"Label Night: Kindergarten Records with Ayesha, Identified Patient, Ma Sha, Stolen Velour",2026-01-30T00:00:00.000,2026-01-30T22:00:00.000,2026-01-31T06:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","Ayesha, Stolen Velour, Identified Patient, Ma Sha",,https://ra.co/events/2318233,
2318229,Body Hack,2026-01-29T00:00:00.000,2026-01-29T20:00:00.000,2026-01-30T04:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA",,,https://ra.co/events/2318229,
2318223,"Mister Nonstop: Palms Trax, Powder, Dorisburg, PAURRO, Justin, Lady Lane, Eamon, Kat Offline",2026-01-24T00:00:00.000,2026-01-24T22:00:00.000,2026-01-25T22:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","Justin Carter, Dorisburg, Kat Offline, PAURRO, Palms Trax, Eamon Harkin, Powder",,https://ra.co/events/2318223,
2318215,Luca Lozano & Mr. Ho All Night,2026-01-23T00:00:00.000,2026-01-23T22:00:00.000,2026-01-24T06:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","Luca Lozano, Mr. Ho",,https://ra.co/events/2318215,
2321839,"MLK Sunday with Soul Summit, Bridge & DJ Lea",2026-01-18T00:00:00.000,2026-01-18T16:00:00.000,2026-01-19T04:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","Soul Summit Music, Bridge (NY), DJ Lea",,https://ra.co/events/2321839,
2318204,"Dissident: Ariel Zetina b2b River Moon, Carly Zeng b2b Rose Kourts, Junior M b2b Manu Miran",2026-01-17T00:00:00.000,2026-01-17T22:00:00.000,2026-01-18T07:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","Junior M (US), Manu Miran, Ariel Zetina, River Moon, Carly Zeng, Rose Kourts","Berlin party Dissident returns to Nowadays for another night of vintage, vibrant house, techno and electro aimed at the queers and the femmes. The pick of the three b2bs has to be Ariel Zetina & River Moon.",https://ra.co/events/2318204,
2318203,"Label Night: Tijolo Records with RHR, DJ SWISHA & SIXX4SIXX",2026-01-16T00:00:00.000,2026-01-16T22:00:00.000,2026-01-17T06:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","RHR, DJ SWISHA","Freshly minted Nowadays resident RHR joins local heavyweight DJ SWISHA for a night of percussive rhythms, driving bass and syncopated club.",https://ra.co/events/2318203,
2322451,Danny Krivit All Day,2026-01-11T00:00:00.000,2026-01-11T17:00:00.000,2026-01-11T23:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA",Danny Krivit,,https://ra.co/events/2322451,
2318201,"Markus, Sharlese, tINI",2026-01-10T00:00:00.000,2026-01-10T22:00:00.000,2026-01-11T06:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","Markus (US), Sharlese, tINI",,https://ra.co/events/2318201,
2318195,"Label Night: Magic City with Bianca Oblivion, Jubilee, NIGELTHREETIMES",2026-01-09T00:00:00.000,2026-01-09T22:00:00.000,2026-01-10T06:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","Bianca Oblivion, Jubilee, NIGELTHREETIMES",,https://ra.co/events/2318195,
2335927,Intro to Ableton Lab: How To Make Your Own Edits and Mashups,2026-01-07T00:00:00.000,2026-01-07T19:00:00.000,2026-01-07T22:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","JP Solis, The New York Record Club for The Advancement of The Arts",,https://ra.co/events/2335927,
2318205,Danny Daze All Night,2026-01-03T00:00:00.000,2026-01-03T22:00:00.000,2026-01-04T06:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA",Danny Daze,,https://ra.co/events/2318205,
2324342,Let's Dance Brooklyn x Sandia: Ali's + Miss Alicia's Birthday Jammy Jam + New Year Celebration,2026-01-03T00:00:00.000,2026-01-03T14:00:00.000,2026-01-03T20:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","Ali Coleman, Bendito, Jeremy Giros, Miss Alicia",,https://ra.co/events/2324342,
2318190,Theo Parrish All Night,2026-01-02T00:00:00.000,2026-01-02T22:00:00.000,2026-01-03T06:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA",Theo Parrish,Living legend Theo Parrish traverses genres and music histories like no other. A true gift for those open to the journey.,https://ra.co/events/2318190,
2294220,"Nonstop New Years: Analog Soul, Aurora Halal, Avalon Emerson, Conducta, Hotwaxx Hale + more",2025-12-31T00:00:00.000,2025-12-31T22:00:00.000,2026-01-02T06:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","Guarionex Jr, Analog Soul, Justin Carter, Conducta, DJ NORTHERN, Eamon Harkin, Stacey Hotwaxx Hale, THC, Aurora Halal, Avalon Emerson",This New Year’s Eve Nonstop features Guarionex Jr’s long-awaited debut. The multifaceted artist puts down his camera to grace the Nowadays booth with his versatile selections.,https://ra.co/events/2294220,
2332971,House Meets Kuduro Dance Workshop,2025-12-28T00:00:00.000,2025-12-28T14:00:00.000,2025-12-28T15:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA",,,https://ra.co/events/2332971,
2331969,"Close Quarters by DESCENDANTS: Meedy x pizzi, Dualitty, KB Da DJ",2025-12-28T00:00:00.000,2025-12-28T14:00:00.000,2025-12-28T21:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","Meedy, pizzi",,https://ra.co/events/2331969,
2294205,livwutang All Night,2025-12-27T00:00:00.000,2025-12-27T22:00:00.000,2025-12-28T06:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA",livwutang,"livwutang has cemented herself as one of the finest deep, dubby and bass-forward DJs in the global underground. Enjoy this rare all-nighter—it won’t disappoint.",https://ra.co/events/2294205,
2294202,Residency Night: Donis invites Joe Claussell,2025-12-26T00:00:00.000,2025-12-26T22:00:00.000,2025-12-27T06:00:00.000,Nowadays,"56-06 Cooper Ave. Ridgewood, NY 11385 USA","Donis, Joe Claussell",,https://ra.co/events/2294202,
